report_date,peds_in_pt_0_11,peds_in_pt_0_11_avg,peds_in_pt_12_17,peds_in_pt_12_17_avg,peds_in_pt,peds_in_pt_avg,peds_icu_0_11,peds_icu_0_11_avg,peds_icu_12_17,peds_icu_12_17_avg,peds_icu,peds_icu_avg
2021-08-06,8,NA,12,NA,20,NA,3,NA,4,NA,7,NA
2021-08-09,7,NA,10,NA,17,NA,1,NA,2,NA,3,NA
2021-08-10,6,NA,6,NA,12,NA,2,NA,1,NA,3,NA
2021-08-16,9,NA,13,NA,22,NA,2,NA,4,NA,6,NA
2021-08-18,12,NA,12,NA,24,NA,3,NA,1,NA,4,NA
2021-08-19,12,NA,13,NA,25,NA,3,NA,2,NA,5,NA
2021-08-20,13,9.571428571428571,11,11,24,20.571428571428573,3,2.4285714285714284,2,2.2857142857142856,5,4.714285714285714
2021-08-23,11,10,10,10.714285714285714,21,20.714285714285715,4,2.5714285714285716,3,2.142857142857143,7,4.714285714285714
2021-08-24,12,10.714285714285714,9,10.571428571428571,21,21.285714285714285,5,3.142857142857143,2,2.142857142857143,7,5.285714285714286
2021-08-25,9,11.142857142857142,7,10.714285714285714,16,21.857142857142858,0,2.857142857142857,2,2.2857142857142856,2,5.142857142857143
2021-08-26,5,10.571428571428571,6,9.714285714285714,11,20.285714285714285,1,2.7142857142857144,2,2,3,4.714285714285714
2021-08-27,8,10,5,8.714285714285714,13,18.714285714285715,3,2.7142857142857144,1,2,4,4.714285714285714
2021-08-30,9,9.571428571428571,8,8,17,17.571428571428573,2,2.5714285714285716,3,2.142857142857143,5,4.714285714285714
2021-08-31,14,9.714285714285714,11,8,25,17.714285714285715,3,2.5714285714285716,5,2.5714285714285716,8,5.142857142857143
2021-09-01,15,10.285714285714286,16,8.857142857142858,31,19.142857142857142,3,2.4285714285714284,7,3.142857142857143,10,5.571428571428571
2021-09-02,13,10.428571428571429,14,9.571428571428571,27,20,7,2.7142857142857144,3,3.2857142857142856,10,6
2021-09-03,16,11.428571428571429,12,10.285714285714286,28,21.714285714285715,5,3.4285714285714284,5,3.7142857142857144,10,7.142857142857143
2021-09-07,14,12.714285714285714,15,11.571428571428571,29,24.285714285714285,4,3.857142857142857,2,3.7142857142857144,6,7.571428571428571
2021-09-08,12,13.285714285714286,10,12.285714285714286,22,25.571428571428573,3,3.857142857142857,1,3.7142857142857144,4,7.571428571428571
2021-09-09,13,13.857142857142858,11,12.714285714285714,24,26.571428571428573,4,4.142857142857143,1,3.4285714285714284,5,7.571428571428571
2021-09-10,17,14.285714285714286,9,12.428571428571429,26,26.714285714285715,3,4.142857142857143,0,2.7142857142857144,3,6.857142857142857
2021-09-13,9,13.428571428571429,9,11.428571428571429,18,24.857142857142858,4,4.285714285714286,1,1.8571428571428572,5,6.142857142857143
2021-09-14,9,12.857142857142858,10,10.857142857142858,19,23.714285714285715,3,3.7142857142857144,3,1.8571428571428572,6,5.571428571428571
2021-09-15,11,12.142857142857142,8,10.285714285714286,19,22.428571428571427,3,3.4285714285714284,4,1.7142857142857142,7,5.142857142857143
2021-09-16,10,11.571428571428571,11,9.714285714285714,21,21.285714285714285,3,3.2857142857142856,3,1.8571428571428572,6,5.142857142857143
2021-09-17,8,11,9,9.571428571428571,17,20.571428571428573,2,3.142857142857143,3,2.142857142857143,5,5.285714285714286
2021-09-20,7,10.142857142857142,9,9.285714285714286,16,19.428571428571427,3,3,2,2.2857142857142856,5,5.285714285714286
2021-09-21,9,9,11,9.571428571428571,20,18.571428571428573,3,3,3,2.7142857142857144,6,5.714285714285714
2021-09-22,8,8.857142857142858,10,9.714285714285714,18,18.571428571428573,2,2.7142857142857144,3,3,5,5.714285714285714
2021-09-23,12,9.285714285714286,4,8.857142857142858,16,18.142857142857142,4,2.857142857142857,2,2.857142857142857,6,5.714285714285714
2021-09-24,12,9.428571428571429,2,8,14,17.428571428571427,4,3,2,2.5714285714285716,6,5.571428571428571
2021-09-25,7,9,3,6.857142857142857,10,15.857142857142858,2,2.857142857142857,2,2.4285714285714284,4,5.285714285714286
2021-09-26,6,8.714285714285714,2,5.857142857142857,8,14.571428571428571,1,2.7142857142857144,2,2.2857142857142856,3,5
2021-09-27,7,8.714285714285714,5,5.285714285714286,12,14,3,2.7142857142857144,3,2.4285714285714284,6,5.142857142857143
2021-09-28,8,8.571428571428571,6,4.571428571428571,14,13.142857142857142,4,2.857142857142857,2,2.2857142857142856,6,5.142857142857143
2021-09-29,6,8.285714285714286,6,4,12,12.285714285714286,4,3.142857142857143,2,2.142857142857143,6,5.285714285714286
2021-09-30,7,7.571428571428571,8,4.571428571428571,15,12.142857142857142,3,3,2,2.142857142857143,5,5.142857142857143
2021-10-01,7,6.857142857142857,10,5.714285714285714,17,12.571428571428571,2,2.7142857142857144,1,2,3,4.714285714285714
2021-10-04,7,6.857142857142857,7,6.285714285714286,14,13.142857142857142,2,2.7142857142857144,2,2,4,4.714285714285714
2021-10-05,8,7.142857142857143,6,6.857142857142857,14,14,2,2.857142857142857,2,2,4,4.857142857142857
2021-10-06,10,7.571428571428571,7,7.142857142857143,17,14.714285714285714,3,2.857142857142857,2,1.8571428571428572,5,4.714285714285714
2021-10-07,9,7.714285714285714,7,7.285714285714286,16,15,3,2.7142857142857144,3,2,6,4.714285714285714
2021-10-08,11,8.428571428571429,3,6.857142857142857,14,15.285714285714286,2,2.4285714285714284,2,2,4,4.428571428571429
2021-10-11,6,8.285714285714286,3,6.142857142857143,9,14.428571428571429,3,2.4285714285714284,1,1.8571428571428572,4,4.285714285714286
2021-10-12,6,8.142857142857142,3,5.142857142857143,9,13.285714285714286,3,2.5714285714285716,1,1.8571428571428572,4,4.428571428571429
2021-10-13,7,8.142857142857142,4,4.714285714285714,11,12.857142857142858,3,2.7142857142857144,0,1.5714285714285714,3,4.285714285714286
2021-10-14,6,7.857142857142857,3,4.285714285714286,9,12.142857142857142,3,2.857142857142857,0,1.2857142857142858,3,4.142857142857143
2021-10-15,6,7.285714285714286,2,3.5714285714285716,8,10.857142857142858,2,2.7142857142857144,0,1,2,3.7142857142857144
2021-10-18,4,6.571428571428571,5,3.2857142857142856,9,9.857142857142858,2,2.5714285714285716,0,0.5714285714285714,2,3.142857142857143
2021-10-19,2,5.285714285714286,5,3.5714285714285716,7,8.857142857142858,1,2.4285714285714284,2,0.5714285714285714,3,3
2021-10-20,4,5,4,3.7142857142857144,8,8.714285714285714,1,2.142857142857143,2,0.7142857142857143,3,2.857142857142857
2021-10-21,3,4.571428571428571,2,3.5714285714285716,5,8.142857142857142,1,1.8571428571428572,2,0.8571428571428571,3,2.7142857142857144
2021-10-22,2,3.857142857142857,3,3.4285714285714284,5,7.285714285714286,1,1.5714285714285714,2,1.1428571428571428,3,2.7142857142857144
2021-10-24,3,3.4285714285714284,2,3.2857142857142856,5,6.714285714285714,1,1.2857142857142858,2,1.4285714285714286,3,2.7142857142857144
2021-10-25,2,2.857142857142857,4,3.5714285714285716,6,6.428571428571429,1,1.1428571428571428,2,1.7142857142857142,3,2.857142857142857
2021-10-26,2,2.5714285714285716,3,3.2857142857142856,5,5.857142857142857,1,1,1,1.8571428571428572,2,2.857142857142857
2021-10-27,2,2.5714285714285716,6,3.4285714285714284,8,6,1,1,1,1.7142857142857142,2,2.7142857142857144
2021-10-28,3,2.4285714285714284,8,4,11,6.428571428571429,2,1.1428571428571428,0,1.4285714285714286,2,2.5714285714285716
2021-10-29,2,2.2857142857142856,10,5.142857142857143,12,7.428571428571429,1,1.1428571428571428,0,1.1428571428571428,1,2.2857142857142856
2021-11-01,2,2.2857142857142856,6,5.571428571428571,8,7.857142857142857,1,1.1428571428571428,0,0.8571428571428571,1,2
2021-11-02,3,2.2857142857142856,6,6.142857142857143,9,8.428571428571429,1,1.1428571428571428,0,0.5714285714285714,1,1.7142857142857142
2021-11-03,4,2.5714285714285716,7,6.571428571428571,11,9.142857142857142,3,1.4285714285714286,1,0.42857142857142855,4,1.8571428571428572
2021-11-04,5,3,5,6.857142857142857,10,9.857142857142858,3,1.7142857142857142,2,0.5714285714285714,5,2.2857142857142856
2021-11-05,5,3.4285714285714284,4,6.571428571428571,9,10,2,1.8571428571428572,0,0.42857142857142855,2,2.2857142857142856
2021-11-08,4,3.5714285714285716,6,6.285714285714286,10,9.857142857142858,0,1.5714285714285714,1,0.5714285714285714,1,2.142857142857143
2021-11-09,4,3.857142857142857,4,5.428571428571429,8,9.285714285714286,1,1.5714285714285714,1,0.7142857142857143,2,2.2857142857142856
2021-11-10,9,4.857142857142857,4,5.142857142857143,13,10,2,1.7142857142857142,1,0.8571428571428571,3,2.5714285714285716
2021-11-11,6,5.285714285714286,6,5.142857142857143,12,10.428571428571429,2,1.8571428571428572,1,1,3,2.857142857142857
2021-11-12,5,5.428571428571429,10,5.571428571428571,15,11,2,1.7142857142857142,2,1.1428571428571428,4,2.857142857142857
2021-11-15,3,5.142857142857143,7,5.857142857142857,10,11,1,1.4285714285714286,2,1.1428571428571428,3,2.5714285714285716
2021-11-16,4,5,6,6.142857142857143,10,11.142857142857142,1,1.2857142857142858,2,1.4285714285714286,3,2.7142857142857144
2021-11-17,5,5.142857142857143,6,6.142857142857143,11,11.285714285714286,1,1.4285714285714286,1,1.4285714285714286,2,2.857142857142857
2021-11-18,6,5.428571428571429,4,6.142857142857143,10,11.571428571428571,0,1.2857142857142858,1,1.4285714285714286,1,2.7142857142857144
2021-11-19,5,4.857142857142857,3,6,8,10.857142857142858,0,1,1,1.4285714285714286,1,2.4285714285714284
2021-11-22,2,4.285714285714286,2,5.428571428571429,4,9.714285714285714,0,0.7142857142857143,0,1.2857142857142858,0,2
2021-11-23,0,3.5714285714285716,2,4.285714285714286,2,7.857142857142857,0,0.42857142857142855,0,1,0,1.4285714285714286
2021-11-24,3,3.5714285714285716,2,3.5714285714285716,5,7.142857142857143,1,0.42857142857142855,0,0.7142857142857143,1,1.1428571428571428
2021-11-25,3,3.4285714285714284,2,3,5,6.428571428571429,0,0.2857142857142857,0,0.42857142857142855,0,0.7142857142857143
2021-11-26,2,3,2,2.4285714285714284,4,5.428571428571429,1,0.2857142857142857,0,0.2857142857142857,1,0.5714285714285714
2021-11-27,4,2.7142857142857144,2,2.142857142857143,6,4.857142857142857,1,0.42857142857142855,0,0.14285714285714285,1,0.5714285714285714
2021-11-28,5,2.7142857142857144,3,2.142857142857143,8,4.857142857142857,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-11-29,4,3,2,2.142857142857143,6,5.142857142857143,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-11-30,4,3.5714285714285716,5,2.5714285714285716,9,6.142857142857143,0,0.42857142857142855,0,0,0,0.42857142857142855
2021-12-01,5,3.857142857142857,7,3.2857142857142856,12,7.142857142857143,1,0.42857142857142855,0,0,1,0.42857142857142855
2021-12-02,7,4.428571428571429,8,4.142857142857143,15,8.571428571428571,1,0.5714285714285714,0,0,1,0.5714285714285714
2021-12-03,6,5,6,4.714285714285714,12,9.714285714285714,0,0.42857142857142855,1,0.14285714285714285,1,0.5714285714285714
2021-12-06,4,5,8,5.571428571428571,12,10.571428571428571,1,0.42857142857142855,1,0.2857142857142857,2,0.7142857142857143
2021-12-07,6,5.142857142857143,6,6,12,11.142857142857142,0,0.42857142857142855,1,0.42857142857142855,1,0.8571428571428571
2021-12-08,3,5,7,6.714285714285714,10,11.714285714285714,0,0.42857142857142855,2,0.7142857142857143,2,1.1428571428571428
2021-12-09,5,5.142857142857143,8,7.142857142857143,13,12.285714285714286,0,0.42857142857142855,1,0.8571428571428571,1,1.2857142857142858
2021-12-10,7,5.428571428571429,10,7.571428571428571,17,13,1,0.42857142857142855,0,0.8571428571428571,1,1.2857142857142858
2021-12-13,8,5.571428571428571,13,8.285714285714286,21,13.857142857142858,1,0.42857142857142855,2,1.1428571428571428,3,1.5714285714285714
2021-12-14,9,6,10,8.857142857142858,19,14.857142857142858,1,0.5714285714285714,3,1.4285714285714286,4,2
2021-12-15,6,6.285714285714286,17,10.142857142857142,23,16.428571428571427,2,0.7142857142857143,5,2,7,2.7142857142857144
2021-12-16,7,6.428571428571429,12,11,19,17.428571428571427,1,0.8571428571428571,4,2.4285714285714284,5,3.2857142857142856
2021-12-17,4,6.571428571428571,14,12,18,18.571428571428573,1,1,4,2.7142857142857144,5,3.7142857142857144
2021-12-20,7,6.857142857142857,11,12.428571428571429,18,19.285714285714285,2,1.2857142857142858,3,3,5,4.285714285714286
2021-12-21,4,6.428571428571429,7,12,11,18.428571428571427,1,1.2857142857142858,3,3.4285714285714284,4,4.714285714285714
2021-12-22,6,6.142857142857143,10,11.571428571428571,16,17.714285714285715,2,1.4285714285714286,4,3.7142857142857144,6,5.142857142857143
2021-12-27,8,6,11,11.714285714285714,19,17.714285714285715,1,1.4285714285714286,3,3.7142857142857144,4,5.142857142857143
2021-12-28,7,6.142857142857143,11,10.857142857142858,18,17,2,1.4285714285714286,2,3.2857142857142856,4,4.714285714285714
2021-12-29,12,6.857142857142857,16,11.428571428571429,28,18.285714285714285,5,2,1,2.857142857142857,6,4.857142857142857
2021-12-30,13,8.142857142857142,13,11.285714285714286,26,19.428571428571427,7,2.857142857142857,1,2.4285714285714284,8,5.285714285714286
